		AND		BOOL	CHAR	CHR		COM		COMMENT	DEQUAL	DIV		ELSE	EQUAL	EXIT	FALSE	FLOAT	FLT		FOR		GTHEN	IDVAR	IF		INT		INTEGER	LBB		LCB		LPAREN	LTHEN	MAIN	MINUS	MOD		MUL		NOT		OR		PLUS	PRINT	RBB		RCB		RETURN	RPAREN	SCOLON	STR		STRING	TRUE	VOID	WHILE	WITH	$end	andor	arrt	assign	bexp	bexp2	bval	dtype	dws		elsests	empty	exp		fact	factarr	fline	ifsts	line	nline	numexp	pline	rln		strvar	term	var		
58		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s69		-		-		-		-		s68		-		-		-		-		r12		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
59		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r13		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
60		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		82		64		46		-		-		-		-		65		43		-		-		-		-		-		-		-		-		-		42		40		
61		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s7		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		14		-		-		-		-		-		-		-		-		-		-		-		-		-		-		24		-		-		-		-		4		
62		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r40		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
63		s85		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s86		-		-		-		-		-		s83		-		-		-		-		-		-		-		-		84		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
64		r44		-		-		-		-		-		s88		-		-		-		-		-		-		-		-		s89		-		-		-		-		-		-		-		s90		-		-		-		-		s91		r44		-		-		-		-		-		r44		r44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		87		-		-		-		
65		r46		-		-		-		-		-		r46		-		-		-		-		-		-		-		-		r46		-		-		-		-		-		-		-		r46		-		s69		-		-		r46		r46		s68		-		-		-		-		r46		r46		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
66		s85		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s86		-		-		-		-		-		s92		-		-		-		-		-		-		-		-		84		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
67		-		-		-		-		-		-		-		-		-		s93		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
68		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		-		43		-		-		-		-		-		-		-		-		-		94		40		
69		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		-		43		-		-		-		-		-		-		-		-		-		95		40		
70		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		-		96		-		-		-		-		-		-		-		-		-		-		40		
